gungu,region_code,sido,file_name,20230331
경상북도 영천시,4723000000,Gyeongsangbukdo,4723000000_Gyeongsangbukdo_Yeongcheon,82
경상북도 예천군,4790000000,Gyeongsangbukdo,4790000000_Gyeongsangbukdo_Yecheon,20
경상북도 울진군,4793000000,Gyeongsangbukdo,4793000000_Gyeongsangbukdo_Uljin,7
경상북도 의성군,4773000000,Gyeongsangbukdo,4773000000_Gyeongsangbukdo_Uiseong,4
경상북도 청도군,4782000000,Gyeongsangbukdo,4782000000_Gyeongsangbukdo_Cheongdo,4
경상북도 청송군,4775000000,Gyeongsangbukdo,4775000000_Gyeongsangbukdo_Cheongsong,2
경상북도 칠곡군,4785000000,Gyeongsangbukdo,4785000000_Gyeongsangbukdo_Chilgok,100
경상북도 포항시 남구,4711100000,Gyeongsangbukdo,4711100000_Gyeongsangbukdo_Pohang_Nam,147
경상북도 포항시 북구,4711300000,Gyeongsangbukdo,4711300000_Gyeongsangbukdo_Pohang_Buk,219
세종시 세종시,3611000000,Sejong,3611000000_Sejong_Sejong,401
울산시 남구,3114000000,Ulsan,3114000000_Ulsan_Nam,240
울산시 동구,3117000000,Ulsan,3117000000_Ulsan_Dong,73
울산시 북구,3120000000,Ulsan,3120000000_Ulsan_Buk,192
울산시 울주군,3171000000,Ulsan,3171000000_Ulsan_Ulju,108
울산시 중구,3111000000,Ulsan,3111000000_Ulsan_Jung,132
전라남도 강진군,4681000000,Jeollanamdo,4681000000_Jeollanamdo_Gangjin,3
전라남도 고흥군,4677000000,Jeollanamdo,4677000000_Jeollanamdo_Goheung,12
전라남도 곡성군,4672000000,Jeollanamdo,4672000000_Jeollanamdo_Gokseong,6
전라남도 광양시,4623000000,Jeollanamdo,4623000000_Jeollanamdo_Gwangyang,150
전라남도 구례군,4673000000,Jeollanamdo,4673000000_Jeollanamdo_Gurye,7
전라남도 나주시,4617000000,Jeollanamdo,4617000000_Jeollanamdo_Naju,66
전라남도 담양군,4671000000,Jeollanamdo,4671000000_Jeollanamdo_Damyang,4
전라남도 목포시,4611000000,Jeollanamdo,4611000000_Jeollanamdo_Mokpo,146
전라남도 무안군,4684000000,Jeollanamdo,4684000000_Jeollanamdo_Muan,61
전라남도 보성군,4678000000,Jeollanamdo,4678000000_Jeollanamdo_Boseong,11
전라남도 순천시,4615000000,Jeollanamdo,4615000000_Jeollanamdo_Suncheon??,199
전라남도 여수시,4613000000,Jeollanamdo,4613000000_Jeollanamdo_Yeosu,129
전라남도 영광군,4687000000,Jeollanamdo,4687000000_Jeollanamdo_Yeonggwang,9
전라남도 영암군,4683000000,Jeollanamdo,4683000000_Jeollanamdo_Yeongam,57
전라남도 완도군,4689000000,Jeollanamdo,4689000000_Jeollanamdo_Wando,4
전라남도 장성군,4688000000,Jeollanamdo,4688000000_Jeollanamdo_Jangseong,7
전라남도 장흥군,4680000000,Jeollanamdo,4680000000_Jeollanamdo_Jangheung,6
전라남도 진도군,4690000000,Jeollanamdo,4690000000_Jeollanamdo_Jindo,3
전라남도 함평군,4686000000,Jeollanamdo,4686000000_Jeollanamdo_Hampyeong,2
전라남도 해남군,4682000000,Jeollanamdo,4682000000_Jeollanamdo_Haenam,24
전라남도 화순군,4679000000,Jeollanamdo,4679000000_Jeollanamdo_Hwasun,30
전라북도 고창군,4579000000,Jeollabukdo,4579000000_Jeollabukdo_Gochang,8
전라북도 군산시,4513000000,Jeollabukdo,4513000000_Jeollabukdo_Gunsan,199
전라북도 김제시,4521000000,Jeollabukdo,4521000000_Jeollabukdo_Gimje,34
전라북도 남원시,4519000000,Jeollabukdo,4519000000_Jeollabukdo_Namwon,27
전라북도 무주군,4573000000,Jeollabukdo,4573000000_Jeollabukdo_Muju,2
전라북도 부안군,4580000000,Jeollabukdo,4580000000_Jeollabukdo_Buan,16
전라북도 순창군,4577000000,Jeollabukdo,4577000000_Jeollabukdo_Sunchang,5
전라북도 완주군,4571000000,Jeollabukdo,4571000000_Jeollabukdo_Wanju,59
전라북도 익산시,4514000000,Jeollabukdo,4514000000_Jeollabukdo_Iksan,139
전라북도 임실군,4575000000,Jeollabukdo,4575000000_Jeollabukdo_Imsil,2
전라북도 장수군,4574000000,Jeollabukdo,4574000000_Jeollabukdo_Jangsu,1
전라북도 전주시 덕진구,4511300000,Jeollabukdo,4511300000_Jeollabukdo_Jeonju_Deokjin,294
전라북도 전주시 완산구,4511100000,Jeollabukdo,4511100000_Jeollabukdo_Jeonju_Wansan,218
전라북도 정읍시,4518000000,Jeollabukdo,4518000000_Jeollabukdo_Jeongeup,67
전라북도 진안군,4572000000,Jeollabukdo,4572000000_Jeollabukdo_Jinan,3
제주도 제주시,5011000000,Jejudo,5011000000_Jejudo_Jeju,73
제주도 서귀포시,5013000000,Jejudo,5013000000_Jejudo_Seogwipo,44
충청남도 계룡시,4425000000,Chungcheongnamdo,4425000000_Chungcheongnamdo_Gyeryong,35
충청남도 공주시,4415000000,Chungcheongnamdo,4415000000_Chungcheongnamdo_Gongju,41
충청남도 금산군,4471000000,Chungcheongnamdo,4471000000_Chungcheongnamdo_Geumsan,17
충청남도 논산시,4423000000,Chungcheongnamdo,4423000000_Chungcheongnamdo_Nonsan,41
충청남도 당진시,4427000000,Chungcheongnamdo,4427000000_Chungcheongnamdo_Dangjin,98
충청남도 보령시,4418000000,Chungcheongnamdo,4418000000_Chungcheongnamdo_Boryeong,53
충청남도 부여군,4476000000,Chungcheongnamdo,4476000000_Chungcheongnamdo_Buyeo,12
충청남도 서산시,4421000000,Chungcheongnamdo,4421000000_Chungcheongnamdo_Seosan,225
충청남도 서천군,4477000000,Chungcheongnamdo,4477000000_Chungcheongnamdo_Seocheon,11
충청남도 아산시,4420000000,Chungcheongnamdo,4420000000_Chungcheongnamdo_Asan,343
충청남도 예산군,4481000000,Chungcheongnamdo,4481000000_Chungcheongnamdo_Yesan,36
충청남도 천안시 동남구,4413100000,Chungcheongnamdo,4413100000_Chungcheongnamdo_Cheonan_Dongnam,241
충청남도 천안시 서북구,4413300000,Chungcheongnamdo,4413300000_Chungcheongnamdo_Cheonan_Seobuk,427
충청남도 청양군,4479000000,Chungcheongnamdo,4479000000_Chungcheongnamdo_Cheongyang,1
충청남도 태안군,4482500000,Chungcheongnamdo,4482500000_Chungcheongnamdo_Taean,26
충청남도 홍성군,4480000000,Chungcheongnamdo,4480000000_Chungcheongnamdo_Hongseong,48
충청북도 괴산군,4376000000,Chungcheongbukdo,4376000000_Chungcheongbukdo_Goesan,4
충청북도 단양군,4380000000,Chungcheongbukdo,4380000000_Chungcheongbukdo_Danyang,6
충청북도 보은군,4372000000,Chungcheongbukdo,4372000000_Chungcheongbukdo_Boeun,17
충청북도 영동군,4374000000,Chungcheongbukdo,4374000000_Chungcheongbukdo_Yeongdong,13
충청북도 옥천군,4373000000,Chungcheongbukdo,4373000000_Chungcheongbukdo_Okcheon,9
충청북도 음성군,4377000000,Chungcheongbukdo,4377000000_Chungcheongbukdo_Eumseong,67
충청북도 제천시,4315000000,Chungcheongbukdo,4315000000_Chungcheongbukdo_Jecheon,108
충청북도 증평군,4374500000,Chungcheongbukdo,4374500000_Chungcheongbukdo_Jeungpyeong,47
충청북도 진천군,4375000000,Chungcheongbukdo,4375000000_Chungcheongbukdo_Jincheon,57
충청북도 청주시 상당구,4311100000,Chungcheongbukdo,4311100000_Chungcheongbukdo_Cheongju_Sangdang,165
충청북도 청주시 서원구,4311200000,Chungcheongbukdo,4311200000_Chungcheongbukdo_Cheongju_Seowon,175
충청북도 청주시 청원구,4311400000,Chungcheongbukdo,4311400000_Chungcheongbukdo_Cheongju_Cheongwon,200
충청북도 청주시 흥덕구,4311300000,Chungcheongbukdo,4311300000_Chungcheongbukdo_Cheongju_Heungdeok,283
충청북도 충주시,4313000000,Chungcheongbukdo,4313000000_Chungcheongbukdo_Chungju,190
