,°»½Å¿ä±¸±Ç»ç¿ë,°ÇÃà³âµµ,°è¾à±¸ºÐ,°è¾à±â°£,³â,¹ýÁ¤µ¿,º¸Áõ±Ý¾×,¾ÆÆÄÆ®,¿ù,¿ù¼¼±Ý¾×,ÀÏ,Àü¿ë¸éÀû,Á¾Àü°è¾àº¸Áõ±Ý,Á¾Àü°è¾à¿ù¼¼,Áö¹ø,Áö¿ªÄÚµå,Ãþ
4,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"15,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,12,0,26,84.8482,,,813,46800,13
5,,2017,,,2017,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,12,0,27,59.9821,,,813,46800,12
0,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,200,¿ìÁÖºô,1,396,2,23.52,,,69,46800,2
1,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,0,4,59.9821,,,813,46800,9
2,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,0,4,59.9821,,,813,46800,10
3,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"4,500",°Ç»êÁÖ°ø,1,0,5,51.88,,,529-1,46800,10
4,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,100",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,0,5,59.9049,,,813,46800,1
5,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,0,12,59.9821,,,813,46800,3
6,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"11,000",ºí·ç½Ã¾È¾ÆÆÄÆ®,1,0,13,81.43,,,182,46800,4
7,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"5,000",°Ç»êÁÖ°ø,1,0,13,51.88,,,529-1,46800,7
8,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,100",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,0,17,59.9821,,,813,46800,1
9,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,0,17,59.9821,,,813,46800,11
10,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"6,500",°Ç»êÁÖ°ø,1,0,20,51.88,,,529-1,46800,8
11,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,0,23,59.9821,,,813,46800,5
12,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",°Ç»êÁÖ°ø,1,0,24,51.88,,,529-1,46800,1
13,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"15,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,0,24,84.8482,,,813,46800,12
14,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,55,26,59.9418,,,813,46800,7
15,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,0,27,59.9418,,,813,46800,9
16,,2009,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"5,000",¼öÃ¢ÈÞ±×¸°,1,0,29,84.9629,,,635-1,46800,10
17,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",ºí·ç½Ã¾È¾ÆÆÄÆ®,1,0,30,81.43,,,182,46800,9
18,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,0,30,59.9049,,,813,46800,4
0,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"14,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,2,0,7,68.8181,,,812,46800,2
1,,1990,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,300,±×¸°ºô¶ó,2,45,10,75.42,,,451-7,46800,2
2,,1996,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"6,500",°è¸í,2,0,13,59.67,,,767,46800,10
3,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,2,0,23,59.9821,,,813,46800,10
4,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"15,100",¹Ì¸£Ã¤¾ÆÆÄÆ®,2,0,26,84.8482,,,813,46800,1
0,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,500,°Ç»êÁÖ°ø,3,41,2,51.88,,,529-1,46800,1
1,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,3,0,6,59.9821,,,813,46800,12
2,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,585",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,3,0,9,46.25,,,810,46800,12
3,,1996,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",¹Ì·¡3,3,40,10,47.79,,,129,46800,5
4,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,989,ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,3,8,15,36.57,,,810,46800,2
5,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,3,0,15,59.9821,,,813,46800,13
6,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,3,200,16,68.8181,,,812,46800,7
7,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,585",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,3,13,20,46.25,,,810,46800,6
8,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",°Ç»êÁÖ°ø,3,40,20,59.99,,,529-1,46800,5
9,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,3,0,25,59.99,,,529-1,46800,12
10,,1996,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"6,200",¹Ì·¡3,3,0,30,59.82,,,129,46800,11
11,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"14,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,3,0,30,68.8181,,,812,46800,2
12,,1994,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"5,500",¹Ì·¡2,3,0,31,59.23,,,685-4,46800,1
0,,1996,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,300,°è¸í,4,35,7,39.93,,,767,46800,1
1,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,585",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,4,13,9,46.25,,,810,46800,12
0,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,500",°Ç»êÁÖ°ø,5,30,13,59.99,,,529-1,46800,7
1,,1996,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,904",°è¸í,5,11,15,59.67,,,767,46800,13
2,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,5,0,16,51.88,,,529-1,46800,9
3,,1996,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,464",°è¸í,5,8,21,49.8,,,767,46800,1
4,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,5,13,25,46.25,,,810,46800,3
0,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,19,46.25,,,810,46800,9
1,,1996,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,904",°è¸í,6,11,21,59.67,,,767,46800,11
2,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"3,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,6,50,25,68.8181,,,812,46800,4
3,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,28,46.25,,,810,46800,7
4,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,28,46.25,,,810,46800,4
5,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,28,46.9,,,810,46800,4
6,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,28,46.25,,,810,46800,8
7,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,28,46.25,,,810,46800,11
8,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,28,46.25,,,810,46800,11
9,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"2,254",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,18,28,46.25,,,810,46800,7
10,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,035",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,28,36.57,,,810,46800,11
11,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,035",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,28,36.57,,,810,46800,11
12,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,28,46.25,,,810,46800,12
13,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,035",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,8,29,36.55,,,810,46800,4
14,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,13,29,46.25,,,810,46800,5
15,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,242",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,10,29,36.55,,,810,46800,6
16,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,932",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,6,16,29,46.25,,,810,46800,5
17,,2017,,,2018,ÀåÈïÀ¾ ¿øµµ¸®,"10,000",Áß¿ìÇÏ³ª¸°,6,0,27,83.4881,,,278,46800,3
0,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,035",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,8,2,36.57,,,810,46800,2
1,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,035",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,8,2,36.57,,,810,46800,5
2,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,13,3,46.25,,,810,46800,10
3,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,13,5,46.25,,,810,46800,12
4,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,7,13,11,46.25,,,810,46800,10
5,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"11,000",ÅÂ¼º°¶·¯¸®,7,0,23,77.35,,,638-3,46800,8
6,,2018,,,2018,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,7,0,19,61.92,,,329,46800,4
0,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,8,0,18,59.99,,,529-1,46800,11
0,,1996,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"4,000",¹Ì·¡3,9,0,15,59.82,,,129,46800,1
1,,1996,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,450",°è¸í,9,8,18,49.8,,,767,46800,5
2,,2017,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,500",¹Ì¸£Ã¤¾ÆÆÄÆ®,9,0,18,59.9821,,,813,46800,2
3,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,200,¿ìÁÖºô,9,33,24,23.52,,,69,46800,4
4,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,9,13,27,46.9,,,810,46800,3
0,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",°Ç»êÁÖ°ø,10,40,4,51.88,,,529-1,46800,7
1,,2001,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"5,000",¼öÃ¢¾ÆÆ®ºô,10,0,9,59.604,,,670,46800,1
2,,2014,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"16,000",Á¤ÇÏ¸®¹öÇÏÀÓ,10,0,23,84.8809,,,811,46800,6
3,,2012,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,610",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,10,13,24,46.25,,,810,46800,9
4,,2009,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"13,000",¼öÃ¢ÈÞ±×¸°,10,0,26,84.9629,,,635-1,46800,6
5,,2009,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,000",¼öÃ¢ÈÞ±×¸°,10,0,30,84.9629,,,635-1,46800,9
6,,2018,,,2018,ÀåÈïÀ¾ ¿øµµ¸®,"15,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,10,0,21,82.95,,,329,46800,14
0,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,11,0,7,51.88,,,529-1,46800,7
1,,1996,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"6,500",°è¸í,11,0,13,59.67,,,767,46800,10
2,,2001,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"9,000",¼öÃ¢¾ÆÆ®ºô,11,0,16,84.785,,,670,46800,16
3,,2018,,,2018,ÀåÈïÀ¾ ¿øµµ¸®,"10,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,11,30,7,82.95,,,329,46800,7
0,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,12,0,5,51.88,,,529-1,46800,9
1,,2004,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",°Ç»êÁÖ°ø,12,35,10,59.99,,,529-1,46800,4
2,,2011,,,2018,ÀåÈïÀ¾ °Ç»ê¸®,"10,000",Çö³²ÆÓ¸®½º,12,0,10,84.9699,,,751-2,46800,7
3,,2018,,,2018,ÀåÈïÀ¾ ¿øµµ¸®,"1,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,12,40,2,61.92,,,329,46800,3
4,,2018,,,2018,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,12,0,6,61.92,,,329,46800,9
5,,2018,,,2018,ÀåÈïÀ¾ ¿øµµ¸®,"15,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,12,0,7,82.95,,,329,46800,16
6,,2018,,,2018,ÀåÈïÀ¾ ¿øµµ¸®,"12,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,12,0,18,82.95,,,329,46800,15
7,,2018,,,2018,ÀåÈïÀ¾ ¿øµµ¸®,"12,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,12,0,23,61.92,,,329,46800,15
0,,1991,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",¹Ì·¡1,1,0,4,109.54,,,473-31,46800,10
1,,1996,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"5,000",½Åµ¿Çö°­º¯Å¸¿î,1,0,7,59.92,,,687-1,46800,3
2,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"10,125",¹Ì¸£Ã¤¾ÆÆÄÆ®,1,53,8,84.8482,,,813,46800,2
3,,2001,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",¼Ö¸þÅ¸¿î,1,0,18,84.8824,,,413,46800,4
4,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,1,30,21,68.8181,,,812,46800,8
5,,2009,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"9,000",¼öÃ¢ÈÞ±×¸°,1,0,23,84.9629,,,635-1,46800,10
6,,1996,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"1,479",°è¸í,1,8,24,49.8,,,767,46800,6
7,,1996,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"1,864",°è¸í,1,6,29,49.8,,,767,46800,1
8,,2004,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,500,°Ç»êÁÖ°ø,1,35,31,51.88,,,529-1,46800,5
9,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"12,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,1,0,14,61.92,,,329,46800,11
10,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"13,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,1,0,26,82.95,,,329,46800,3
0,,2001,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",¼öÃ¢¾ÆÆ®ºô,2,0,8,59.604,,,670,46800,11
1,,1996,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",¹Ì·¡3,2,0,11,59.82,,,129,46800,7
2,,1996,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",¹Ì·¡3,2,0,11,59.82,,,129,46800,7
3,,2004,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"6,500",°Ç»êÁÖ°ø,2,0,13,51.88,,,529-1,46800,5
4,,1996,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"4,000",¹Ì·¡3,2,20,18,59.82,,,129,46800,2
5,,1996,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"6,000",¹Ì·¡3,2,0,21,59.82,,,129,46800,5
6,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"7,285",¹Ì¸£Ã¤¾ÆÆÄÆ®,2,35,21,59.9821,,,813,46800,7
7,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"15,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,2,0,22,84.8482,,,813,46800,3
8,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"12,500",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,2,0,12,61.92,,,329,46800,13
9,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"5,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,2,13,14,61.92,,,329,46800,12
10,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"16,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,2,0,15,82.95,,,329,46800,4
11,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"4,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,2,35,25,61.92,,,329,46800,11
12,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"12,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,2,0,28,61.92,,,329,46800,15
13,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"5,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,2,15,28,61.92,,,329,46800,10
0,,1991,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",¹Ì·¡1,3,0,6,84.64,,,473-31,46800,2
1,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"13,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,3,0,7,68.8181,,,812,46800,3
2,,2004,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"2,000",°Ç»êÁÖ°ø,3,36,10,59.99,,,529-1,46800,2
3,,1996,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,500,¹Ì·¡3,3,35,13,59.82,,,129,46800,14
4,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"4,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,3,32,4,61.92,,,329,46800,3
5,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"11,500",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,3,0,6,61.92,,,329,46800,7
6,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"16,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,3,0,14,82.95,,,329,46800,1
7,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,3,0,18,61.92,,,329,46800,11
8,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"16,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,3,0,18,82.95,,,329,46800,4
0,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"14,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,4,0,3,68.0236,,,812,46800,3
1,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"11,445",¹Ì¸£Ã¤¾ÆÆÄÆ®,4,0,10,59.9821,,,813,46800,10
2,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,4,0,10,59.9821,,,813,46800,10
3,,2012,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"1,626",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,4,13,19,46.25,,,810,46800,5
0,,1991,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",ÇÑºû¸Ç¼Ç,5,37,11,84.535,,,752,46800,4
1,,2004,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"1,500",°Ç»êÁÖ°ø,5,30,21,59.99,,,529-1,46800,7
2,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,5,0,23,59.9821,,,813,46800,6
3,,2004,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,5,0,23,59.99,,,529-1,46800,12
4,,1991,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"5,500",ÇÑºû¸Ç¼Ç,5,0,24,68.235,,,752,46800,2
5,,1996,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,500,°è¸í,5,40,28,59.67,,,767,46800,12
6,,1996,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"3,500",¹Ì·¡3,5,0,29,59.82,,,129,46800,2
7,,2014,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"15,000",Á¤ÇÏ¸®¹öÇÏÀÓ,5,0,31,84.6083,,,811,46800,20
8,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,5,0,4,61.92,,,329,46800,6
9,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,5,0,21,61.92,,,329,46800,5
10,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,5,0,31,61.92,,,329,46800,5
0,,2011,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"21,000",Çö³²ÆÓ¸®½º,6,0,28,84.9699,,,751-2,46800,10
1,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,6,0,4,61.92,,,329,46800,5
2,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,6,0,16,61.92,,,329,46800,4
0,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"10,900",¹Ì¸£Ã¤¾ÆÆÄÆ®,7,0,1,59.9821,,,813,46800,11
1,,1994,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"3,000",¹Ì·¡2,7,20,17,59.23,,,685-4,46800,11
2,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,7,0,11,61.92,,,329,46800,4
3,,2017,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"12,000",Áß¿ìÇÏ³ª¸°,7,0,19,84.5698,,,278,46800,6
4,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,7,0,21,61.92,,,329,46800,4
5,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"2,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,7,55,21,82.95,,,329,46800,16
6,,2017,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"12,000",Áß¿ìÇÏ³ª¸°,7,0,22,84.5698,,,278,46800,8
7,,2018,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"11,000",ÀåÈïÄÚ¾Æ·çÇØÇÇÆ®¸®,7,0,23,61.92,,,329,46800,3
8,,2017,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"12,000",Áß¿ìÇÏ³ª¸°,7,0,29,83.4881,,,278,46800,6
9,,2017,,,2019,ÀåÈïÀ¾ ¿øµµ¸®,"12,000",Áß¿ìÇÏ³ª¸°,7,0,29,83.4881,,,278,46800,8
0,,2004,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"1,000",°Ç»êÁÖ°ø,8,30,1,59.99,,,529-1,46800,1
1,,2017,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"11,000",Áß¾Ó°¶·¯¸®¾ÆÆÄÆ®,8,0,1,68.0236,,,812,46800,2
2,,2004,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"7,000",°Ç»êÁÖ°ø,8,0,5,51.88,,,529-1,46800,7
3,,2012,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"1,056",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,8,8,7,36.57,,,810,46800,5
4,,2012,,,2019,ÀåÈïÀ¾ °Ç»ê¸®,"1,056",ÀåÈï°Ç»ê2ÈÞ¸Õ½Ã¾Æ,8,0,19,36.57,,,810,46800,4
